ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2,Notes,Extension_1,Extension_2
1,我很喜欢一位唱歌好听的明星。,我很喜欢一首唱歌好听的明星。,我很喜欢一首令人流泪的歌。,我很喜欢一位令人流泪的歌。,的歌,我很喜欢一首唱歌好听的明星的歌。,我很喜欢一位唱歌好听的明星的歌。
2,她开车去了一家很受大家欢迎的饭店。,她开车去了一座很受大家欢迎的饭店。,她开车去了一座很受大家欢迎的山。,她开车去了一家很受大家欢迎的山。,旁边的山,她开车去了一座很受大家欢迎的饭店旁边的山。,她开车去了一家很受大家欢迎的饭店旁边的山。
3,他有一双被我穿坏了的手套。,他有一枚被我穿坏了的手套。,他有一枚被我穿坏了的纽扣。,他有一双被我穿坏了的纽扣。,的纽扣,他有一枚被我穿坏了的手套的纽扣。,他有一双被我穿坏了的手套的纽扣。
4,店长拿着一只很久没吃饭了的兔子。,店长拿着一根很久没吃饭了的兔子。,店长拿着一根刚成熟的胡萝卜。,店长拿着一只刚成熟的胡萝卜。,的胡萝卜,店长拿着一根很久没吃饭了的兔子的胡萝卜。,店长拿着一只很久没吃饭了的兔子的胡萝卜。
5,他在看一位正在讲课的老师。,他在看一部正在讲课的老师。,他在看一部正在播放视频的手机。,他在看一位播放视频的手机。,的手机,他在看一部正在讲课的老师的手机。,他在看一位正在讲课的老师的手机。
6,他认识了一名经常旷课的男孩。,他认识了一本经常旷课的男孩。,他认识了一本有历史的书。,他认识了一名有历史的男孩的书。,的书,他认识了一本经常旷课的男孩的书。,他认识了一名经常旷课的男孩的书。
7,有个男人在扫描一篇今早登报了的文章。,有个男人在扫描今早登报了的文章。,有个男人在扫描一张今早登报了的图片。,有个男人在扫描一篇今早登报了的图片。,里的图片,有个男人在扫描一张今早登报了的文章里的图片。,有个男人在扫描一篇今早登报了的文章里的图片。
8,女演员在看一张被洗坏了的旧照片。,女演员在看一位被洗坏了的旧照片。,女演员在看一位教过她的老师。,女演员在看一张教过她的老师。,里的老师,女演员在看一位被洗坏了的旧照片里的老师。,女演员在看一张被洗坏了的旧照片里的老师。
9,他在修理一辆无法启动的汽车。,他在修理一套无法启动的汽车。,他在修理一套无法启动的音响系统。,他在修理一辆无法启动的音响系统。,的音响系统。,他在修理一套无法启动的汽车的音响系统。,他在修理一辆无法启动的汽车的音响系统。
10,学生们在写一部时长约一个小时的电影。,学生们在写一首时长约一个小时的电影。,学生们在写一首时长约一个小时的主题曲。,学生们在写一部时长约一个小时的主题曲。,的主题曲,学生们在写一首时长约一个小时的电影的主题曲。,学生们在写一部时长约一个小时的电影的主题曲。
11,我们在看一场吸引了很多观众的表演。,我们在看一块吸引了很多观众的表演。,我们在看一块吸引了很多观众的场地。,我们在看一场吸引了很多观众的场地。,的场地,我们在看一块吸引了很多观众的表演的场地。,我们在看一场吸引了很多观众的表演的场地。
12,他最喜欢一道让人开胃的菜。,他最喜欢一瓶让人开胃的菜。,他最喜欢一瓶让人开胃的调料。,他最喜欢一道让人开胃的调料。,里的调料,他最喜欢一瓶让人开胃的菜里的调料。,他最喜欢一道让人开胃的菜里的调料。
