ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2,Notes,Extension_1,Extension_2
1,我很喜欢一位国内的明星。,我很喜欢一首国内的明星。,我很喜欢一首国内的歌。,我很喜欢一位国内的歌。,的歌,我很喜欢一首国内的明星的歌。,我很喜欢一位国内的明星的歌。
2,她开车去了一家郊外的饭店。,她开车去了一座郊外的饭店。,她开车去了一座郊外的山。,她开车去了一家郊外的山。,旁边的山,她开车去了一座郊外的饭店旁边的山。,她开车去了一家郊外的饭店旁边的山。
3,他有一双蓝色的手套。,他有一枚蓝色的手套。,他有一枚蓝色的纽扣。,他有一双蓝色的纽扣。,的纽扣,他有一枚蓝色的手套的纽扣。,他有一双蓝色的手套的纽扣。
4,店长拿着一只活泼的白色的兔子。,店长拿着一根活泼的白色的兔子。,店长拿着一根便宜的橙色的胡萝卜。,店长拿着一只便宜的橙色的胡萝卜。,的胡萝卜,店长拿着一根活泼的白色的兔子的胡萝卜。,店长拿着一只活泼的白色的兔子的胡萝卜。
5,他在看一位和蔼的聪明的老师。,他在看一部和蔼的聪明的老师。,他在看一部最新的黑色的手机。,他在看一位最新的黑色的手机。,的手机,他在看一部和蔼的聪明的老师的手机。,他在看一位和蔼的聪明的老师的手机。
6,他认识了一名幸运的年轻的男孩。,他认识了一本幸运的年轻的男孩。,他认识了一本幸运的年轻的书。,他认识了一名幸运的年轻的书。,的书,他认识了一本幸运的年轻的男孩的书。,他认识了一名幸运的年轻的男孩的书。
7,有个男人在扫描一篇很长的文章。,有个男人在扫描一张很长的文章。,有个男人在扫描一张很长的图片。,有个男人在扫描一篇很长的图片。,里的图片,有个男人在扫描一张很长的文章里的图片。,有个男人在扫描一篇很长的文章里的图片。
8,女演员在看一张干净的旧照片。,女演员在看一位干净的旧照片。,女演员在看一位干净的老师。,女演员在看一张干净的老师。,里的老师,女演员在看一位干净的旧照片里的老师。,女演员在看一张干净的旧照片里的老师。
9,他在修理一辆倒霉的汽车。,他在修理一套倒霉的汽车。,他在修理一套倒霉的音响系统。,他在修理一辆倒霉的音响系统。,的音响系统。,他在修理一套倒霉的汽车的音响系统。,他在修理一辆倒霉的汽车的音响系统。
10,学生们在写一部精彩的新电影。,学生们在写一首精彩的新电影。,学生们在写一首精彩的主题曲。,学生们在写一部精彩的主题曲。,的主题曲,学生们在写一首精彩的新电影的主题曲。,学生们在写一部精彩的新电影的主题曲。
11,我们在看一场魔幻的他的表演。,我们在看一块魔幻的他的表演。,我们在看一块魔幻的他的场地。,我们在看一场魔幻的他的场地。,的场地,我们在看一块魔幻的他的表演的场地。,我们在看一场魔幻的他的表演的场地。
12,他最喜欢一道辣的菜。,他最喜欢一瓶辣的菜。,他最喜欢一瓶辣的调料。,他最喜欢一道辣的调料。,里的调料,他最喜欢一瓶辣的菜里的调料。,他最喜欢一道辣的菜里的调料。
