ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2
1,我 很 喜欢 一 位 明星 。,我 很 喜欢 一 首 明星 。,我 很 喜欢 一 首 歌曲 。,我 很 喜欢 一 位 歌曲 。
2,她 开车 去 了 一 家 店 。,她 开车 去 了 一 座 店 。,她 开车 去 了 一 座 山 。,她 开车 去 了 一 家 山 。
3,他 有 一 双 手套 。,他 有 一 枚 手套 。,他 有 一 枚 纽扣 。,他 有 一 双 纽扣 。
4,店长 拿 着 一 只 兔子 。,店长 拿 着 一 根 兔子 。,店长 拿 着 一 根 萝卜 。,店长 拿 着 一 只 萝卜 。
5,她 提到 了 一 座 城堡 。,她 提到 了 一 面 城堡 。,她 提到 了 一 面 城墙 。,她 提到 了 一 座 城墙 。
6,他 认识 了 一 名 男孩 。,他 认识 了 一 本 男孩 。,他 认识 了 一 本 小说 。,他 认识 了 一 名 小说 。
7,男人 在 扫描 一 篇 文章 。,男人 在 扫描 一 张 文章 。,男人 在 扫描 一 张 图片 。,男人 在 扫描 一 篇 图片 。
8,演员 在 看 一 张 照片 。,演员 在 看 一 位 照片 。,演员 在 看 一 位 老师 。,演员 在 看 一 张 老师 。
9,他 在 修理 一 辆 汽车 。,他 在 修理 一 套 汽车 。,他 在 修理 一 套 系统 。,他 在 修理 一 辆 系统 。
10,学生 们 在 写 一 部 电影 。,学生 们 在 写 一 首 电影 。,学生 们 在 写 一 首 戏曲 。,学生 们 在 写 一 部 戏曲 。
11,我们 在 看 一 场 表演 。,我们 在 看 一 块 表演 。,我们 在 看 一 块 场地 。,我们 在 看 一 场 场地 。
12,他 最 喜欢 一 道 菜 。,他 最 喜欢 一 瓶 菜 。,他 最 喜欢 一 瓶 醋 。,他 最 喜欢 一 道 醋 。
13,她 拿 了 一 份 饭 。,她 拿 了 一 卷 饭 。,她 拿 了 一 卷 纸 。,她 拿 了 一 份 纸 。
14,学生 们 在 写 一 部 戏剧 。,学生 们 在 写 一 篇 戏剧 。,学生 们 在 写 一 篇 文章 。,学生 们 在 写 一 部 文章 。
15,这 是 一 辆 火车 。,这 是 一 扇 火车 。,这 是 一 扇 窗户 。,这 是 一 辆 窗户 。
16,老师 在 责备 三 名 学生 。,老师 在 责备 三 只 学生 。,老师 在 责备 三 只 宠物 。,老师 在 责备 三 名 宠物 。
17,她 买 过 两 杯 咖啡 。,她 买 过 两 个 咖啡 。,她 买 过 两 个 杯子 。,她 买 过 两 杯 杯子 。
18,孩子 在 卖 五 台 桌子 。,孩子 在 卖 五 块 桌子 。,孩子 在 卖 五 块 蛋糕 。,孩子 在 卖 五 台 蛋糕 。
19,妈妈 在 做 一 张 地图 。,妈妈 在 做 一 面 地图 。,妈妈 在 做 一 面 镜子 。,妈妈 在 做 一 张 镜子 。
20,爸爸 买 了 一 栋 房子 。,爸爸 买 了 一 条 房子 。,爸爸 买 了 一 条 沙发 。,爸爸 买 了 一 栋 沙发 。
21,我 想 种 一 朵 玫瑰 。,我 想 种 一 颗 玫瑰 。,我 想 种 一 颗 种子 。,我 想 种 一 朵 种子 。
22,我 经常 去 一 家 医院 。,我 经常 去 一 座 医院 。,我 经常 去 一 座 城市 。,我 经常 去 一 家 城市 。
23,他 买 了 一 道 沙拉 。,他 买 了 一 处 沙拉 。,他 买 了 一 处 仓库 。,他 买 了 一 道 仓库 。
24,我 拜访 了 这 一 所 高中 。,我 拜访 了 这 一 位 高中 。,我 拜访 了 这 一 位 老师 。,我 拜访 了 这 一 所 老师 。
25,他 在 读 一 条 评论 。,他 在 读 一 首 评论 。,他 在 读 一 首 诗歌 。,他 在 读 一 条 诗歌 。
26,她 从来 没 见 过 一 头 老虎 。,她 从来 没 见 过 一 双 老虎 。,她 从来 没 见 过 一 双 眼睛 。,她 从来 没 见 过 一 头 眼睛 。
27,我 还 没有 检查 一 份 作业 。,我 还 没有 检查 一 行 作业 。,我 还 没有 检查 一 行 公式 。,我 还 没有 检查 一 份 公式 。
28,孩子 听到 了 一 首 歌谣 。,孩子 听到 了 一 张 歌谣 。,孩子 听到 了 一 张 专辑 。,孩子 听到 了 一 首 专辑 。
29,护士 做 了 一 次 检查 。,护士 做 了 一 篇 检查 。,护士 做 了 一 篇 报告 。,护士 做 了 一 次 报告 。
30,这里 是 两 台 电视 。,这里 是 两 份 电视 。,这里 是 两 份 订单 。,这里 是 两 台 订单 。
31,我 记得 一 棵 松树 。,我 记得 一 片 松树 。,我 记得 一 片 叶子 。,我 记得 一 棵 叶子 。
32,他 很 欣赏 一 处 景点 。,他 很 欣赏 一 位 景点 。,他 很 欣赏 一 位 领导 。,他 很 欣赏 一 处 领导 。
33,那里 有 一 支 舰队 。,那里 有 一 艘 舰队 。,那里 有 一 艘 渔船 。,那里 有 一 支 渔船 。
