download_date,published_date_gmt,title,url,category,raw_text
2023-08-24,2023-08-24 13:23:05,PlayStation 第一款遙控遊玩專用裝置「PlayStation Portal」將於今年下半年上市,https://gnn.gamer.com.tw/detail.php?sn=254995,Entertainment,
2023-08-24,2023-08-24 11:35:27,《Shotgun King: The Final Checkmate》PS4 / PS5 / Switch 中文版問世,https://gnn.gamer.com.tw/detail.php?sn=254994,Entertainment,
2023-08-24,2023-08-24 11:14:45,街機風格 2D 平台動作遊戲《重力迴路》Switch 中文版今日上市,https://gnn.gamer.com.tw/detail.php?sn=254993,Entertainment,
2023-08-24,2023-08-24 11:13:21,Epic Games Store 將推 Epic 首發計畫 透過獨佔讓開發者前六個月可拿 100% 收益分配,https://gnn.gamer.com.tw/detail.php?sn=254992,Entertainment,
2023-08-24,2023-08-24 10:48:00,為旅程做好準備！摩托車競速賽車遊戲《極速騎行 5》現已上路,https://gnn.gamer.com.tw/detail.php?sn=254990,Entertainment,
2023-08-24,2023-08-24 10:44:19,「SEGA 情報局 EP.4」將於 8 月 25 日播出 帶來《女神異聞錄》系列介紹特輯,https://gnn.gamer.com.tw/detail.php?sn=254989,Entertainment,
2023-08-24,2023-08-24 10:26:41,《傭兵小鎮》釋出英雄「布洛迪」介紹,https://gnn.gamer.com.tw/detail.php?sn=254986,Entertainment,
2023-08-24,2023-08-23 16:09:00,韓網熱帖／FIFTY FIFTY控公司「丟食物侮辱」！誇張藏零食網看傻,https://www.ettoday.net/news/20230824/2567305.htm?from=rss,Entertainment,"記者郭采縈／綜合報導

南韓女團FIFTY FIFTY與經紀公司ATTRAKT爆出合約糾紛，要求解約，至今為止由於未能提出明確有利的證據，遭到網友一面倒撻伐。近日節目《想知道真相》也對事件進行獨家報導，其中成員家屬受訪時，聲稱經紀公司侮辱成員，把父母拿來的食物倒在地上逼成員「趕快丟到垃圾桶」。

▲FIFTY FIFTY與經紀公司爆發合約糾紛。（圖／翻攝自Instagram／we_fiftyfifty）

然而事後Dispatch揭露，把成員食物丟掉的，其實是負責團體歌曲製作公司The Givers的白姓理事（白真實），並非經紀公司所為。稍早Dispatch另外公開了當時白姓理事對成員進行臨時檢查的文件內容，發現一位練習生B在儲物櫃及宿舍藏有大量零食，誇張程度掀起韓網討論。



練習生B儲物櫃：巧克力鬆餅、糖果、蛋白質巧克力、起司、維他命棒、巧克力、切塊地瓜…（部分省略）

[廣告]請繼續往下閱讀...

練習生B+a宿舍：羊羹、橘子片、冰淇淋、起司乳酪年糕、紅豆麵包、小熊軟糖、玉米餅乾、蜜糖餅、草莓洋芋片…（部分省略）



韓網評論：



1.她們的零食比沒在減肥的我還多呢…



2.這是宿舍還是便利商店啊



3.我保存了那張照片，肚子餓的時候要參考一下



4.我不會去罵亂丟食物的白真實，換作是我，如果練習生把零食堆成那樣肯定會生氣的，這件事確實值得發脾氣亂丟食物



5.吃得很好呢哈哈哈，還有第一次見到的商品



6.這比我們公司茶水間的零食還要好…



7.那個人又不是藝人，那麼嚴厲地指責她好嗎？



8.這種程度是學校福利社了吧



9.種類真的很多哈哈哈，但為什麼把它編成目錄了呢，還不是寫了一堆出來而已，而是整理成目錄了哈哈



10.很懂吃呢……我也想吃



11.這種程度的話，如果是我也會被媽媽罵的



12.也有可能她是不會胖的體質吧



13.哇 真的有被要求要節食嗎



14.作為一般人我也不會這樣吃…



15.偶像練習生這樣吃嗎？？這程度根本是為了想退團才故意的吧



16.好像在檢查超商的庫存



17.副業是開福利社嗎？



18.在家裡這樣吃的話，會被媽媽打後背…



19.吃得很好呢，哪裡有飲食控制啊哈哈哈



20.我不是偶像，但我也這樣吃的話一定會被爸媽罵



韓網文章來源：https://theqoo.net/square/2904668669"
2023-08-24,2023-08-23 16:07:00,SENSE滿分！姜棟元被要求比愛心「突掏出自備小物」韓網笑翻：可愛瘋了,https://www.ettoday.net/news/20230824/2567342.htm?from=rss,Entertainment,"記者劉宛欣／綜合報導

被視為南韓「公共財」的高顏值男神姜棟元繼《嬰兒轉運站》後，時隔一年終於推出新電影《千博士驅魔研究所：雪景的秘密》，主演群22日在首爾舉辦發布會，在拍照時間時，早就已經預知會被要求比出各種愛心手勢的他竟有備而來，從口袋拿出自製愛心，笑翻全場，片段也被剪輯後在網路上瘋傳。

▲姜棟元推出新作《千博士驅魔研究所：雪景的秘密》。（圖／CFP）

姜棟元22日與許峻豪、李絮、李東輝等一起出席了《千博士驅魔研究所：雪景的秘密》的發布會，現場韓媒雲集，主持人由朴京林擔任，在開放讓媒體拍攝的時間，朴京林要求他們擺出愛心手勢，姜棟元早就預料到會有這一PART，馬上就笑著從口袋裡掏出一枚自製紅色愛心，笑翻全場，朴京林笑著大讚「太厲害了！」，機智化解了不好意思比愛心的尷尬，也增添了話題與笑料。

[廣告]請繼續往下閱讀...

▲姜棟元自備愛心道具到發布會。（圖／翻攝自MTNSTAR／、CFP）

片段被現場韓媒全程記錄下來，在論壇擴散後，網友紛紛被逗樂直呼「長這麼帥還這麼有sense怎麼辦」、「他應該比任何人都期待叫他比愛心」、「要是沒叫他比該怎麼辦」、「可愛死了」、「拿出來前該有多緊張啊」、「瘋了，竟然帶著愛心」、「這歐爸從20年前就這麼可愛了」、「好努力」。"
2023-08-24,2023-08-23 15:53:00,甄妮聽李玟音檔痛哭！ 喊抓霸凌者「要她陪葬」：事實勝於雄辯,https://www.ettoday.net/news/20230823/2567334.htm?from=rss,Entertainment,"記者李湘文／綜合報導

藝人李玟生前音檔在近日曝光，爆出去年錄製《中國好聲音》期間遭到節目團隊羞辱、霸凌，導致身心狀態都受到傷害。與她情同母女的甄妮為此相當憤怒，近日頻頻在臉書PO文發聲，坦言聽了音檔之後相當火大，要霸凌李玟的人「陪葬」。

▲甄妮7月底出席李玟告別式。（圖／Late CoCo Lee Family提供）

甄妮痛心表示：「每看一次我痛一次，每聽一聲我哭一聲，若被殘之人是你，你會如何？」她難過表示，李玟先前怕她擔心，不曾說過關於事情的真相，「如此忍讓善良的人，一定要為她討回公道！」她把網路上的音檔、影片看了又看、聽了又聽，心中對於霸凌者的怒火沸騰，氣憤喊出「要她陪葬」。

[廣告]請繼續往下閱讀...

▲甄妮沉痛質問。（圖／翻攝自臉書／甄妮）

甄妮強調：「此事別說是CoCo，就算是發生在霆鋒，那英，張惠妹，華仔……等身上，我也一樣對待維護，決不偏袒！」她堅定表示「我不需要看任何評語，事實勝於雄辯」、「不必論我好壞，起碼我知道自己現在應該做什麼」，想替李玟討公道心意似已相當堅決。

▲甄妮喊「一定要為她討回公道」。（圖／翻攝自臉書／甄妮）"
